Matrix Index	Metabolite#	MetaboliteID	Reaction#	ReactionID	Stoichiometry
471	129	M_co2_c	74	R_3OAS10M12	1
472	4	M_h_c	75	R_3OAS11M12	-1
473	127	M_malACP_c	75	R_3OAS11M12	-1
474	132	M_11mddcaACP_c	75	R_3OAS11M12	-1
475	28	M_ACP_c	75	R_3OAS11M12	1
476	108	M_13m3omyrsACP_c	75	R_3OAS11M12	1
477	129	M_co2_c	75	R_3OAS11M12	1
478	4	M_h_c	76	R_3OAS120	-1
479	127	M_malACP_c	76	R_3OAS120	-1
480	133	M_dcaACP_c	76	R_3OAS120	-1
481	28	M_ACP_c	76	R_3OAS120	1
482	105	M_3oddecACP_c	76	R_3OAS120	1
483	129	M_co2_c	76	R_3OAS120	1
484	4	M_h_c	77	R_3OAS12M13	-1
485	127	M_malACP_c	77	R_3OAS12M13	-1
486	134	M_12mtridecACP_c	77	R_3OAS12M13	-1
487	28	M_ACP_c	77	R_3OAS12M13	1
488	110	M_14m3opentdecACP_c	77	R_3OAS12M13	1
489	129	M_co2_c	77	R_3OAS12M13	1
490	4	M_h_c	78	R_3OAS12M14	-1
491	127	M_malACP_c	78	R_3OAS12M14	-1
492	135	M_12mmyrsACP_c	78	R_3OAS12M14	-1
493	28	M_ACP_c	78	R_3OAS12M14	1
494	111	M_14m3opalmACP_c	78	R_3OAS12M14	1
495	129	M_co2_c	78	R_3OAS12M14	1
496	4	M_h_c	79	R_3OAS13M14	-1
497	127	M_malACP_c	79	R_3OAS13M14	-1
498	136	M_13mmyrsACP_c	79	R_3OAS13M14	-1
499	28	M_ACP_c	79	R_3OAS13M14	1
500	112	M_15m3opalmACP_c	79	R_3OAS13M14	1
501	129	M_co2_c	79	R_3OAS13M14	1
502	4	M_h_c	80	R_3OAS140	-1
503	127	M_malACP_c	80	R_3OAS140	-1
504	137	M_ddcaACP_c	80	R_3OAS140	-1
505	28	M_ACP_c	80	R_3OAS140	1
506	109	M_3omrsACP_c	80	R_3OAS140	1
507	129	M_co2_c	80	R_3OAS140	1
508	4	M_h_c	81	R_3OAS160	-1
509	127	M_malACP_c	81	R_3OAS160	-1
510	138	M_myrsACP_c	81	R_3OAS160	-1
511	28	M_ACP_c	81	R_3OAS160	1
512	113	M_3opalmACP_c	81	R_3OAS160	1
513	129	M_co2_c	81	R_3OAS160	1
514	4	M_h_c	82	R_3OAS180	-1
515	127	M_malACP_c	82	R_3OAS180	-1
516	139	M_palmACP_c	82	R_3OAS180	-1
517	28	M_ACP_c	82	R_3OAS180	1
518	114	M_3ooctdACP_c	82	R_3OAS180	1
519	129	M_co2_c	82	R_3OAS180	1
520	4	M_h_c	83	R_3OAS2M3	-1
521	127	M_malACP_c	83	R_3OAS2M3	-1
522	140	M_2mpropACP_c	83	R_3OAS2M3	-1
523	28	M_ACP_c	83	R_3OAS2M3	1
524	116	M_4m3opentACP_c	83	R_3OAS2M3	1
525	129	M_co2_c	83	R_3OAS2M3	1
526	4	M_h_c	84	R_3OAS3M4	-1
527	127	M_malACP_c	84	R_3OAS3M4	-1
528	141	M_3mbutACP_c	84	R_3OAS3M4	-1
529	28	M_ACP_c	84	R_3OAS3M4	1
530	118	M_5m3ohexACP_c	84	R_3OAS3M4	1
531	129	M_co2_c	84	R_3OAS3M4	1
532	4	M_h_c	85	R_3OAS4M3O6	-1
533	30	M_2mbutACP_c	85	R_3OAS4M3O6	-1
534	127	M_malACP_c	85	R_3OAS4M3O6	-1
535	28	M_ACP_c	85	R_3OAS4M3O6	1
536	117	M_4m3ohexACP_c	85	R_3OAS4M3O6	1
537	129	M_co2_c	85	R_3OAS4M3O6	1
538	4	M_h_c	86	R_3OAS4M5	-1
539	127	M_malACP_c	86	R_3OAS4M5	-1
540	142	M_4mpentACP_c	86	R_3OAS4M5	-1
541	28	M_ACP_c	86	R_3OAS4M5	1
542	120	M_6m3oheptACP_c	86	R_3OAS4M5	1
543	129	M_co2_c	86	R_3OAS4M5	1
544	4	M_h_c	87	R_3OAS4M6	-1
545	127	M_malACP_c	87	R_3OAS4M6	-1
546	143	M_4mhexACP_c	87	R_3OAS4M6	-1
547	28	M_ACP_c	87	R_3OAS4M6	1
548	121	M_6m3oocACP_c	87	R_3OAS4M6	1
549	129	M_co2_c	87	R_3OAS4M6	1
550	4	M_h_c	88	R_3OAS5M6	-1
551	127	M_malACP_c	88	R_3OAS5M6	-1
552	144	M_5mhexACP_c	88	R_3OAS5M6	-1
553	28	M_ACP_c	88	R_3OAS5M6	1
554	122	M_7m3oocACP_c	88	R_3OAS5M6	1
555	129	M_co2_c	88	R_3OAS5M6	1
556	4	M_h_c	89	R_3OAS60	-1
557	127	M_malACP_c	89	R_3OAS60	-1
558	145	M_butACP_c	89	R_3OAS60	-1
559	28	M_ACP_c	89	R_3OAS60	1
560	119	M_3ohexACP_c	89	R_3OAS60	1
561	129	M_co2_c	89	R_3OAS60	1
562	4	M_h_c	90	R_3OAS6M7	-1
563	127	M_malACP_c	90	R_3OAS6M7	-1
564	146	M_6mheptACP_c	90	R_3OAS6M7	-1
565	28	M_ACP_c	90	R_3OAS6M7	1
566	125	M_8m3ononACP_c	90	R_3OAS6M7	1
567	129	M_co2_c	90	R_3OAS6M7	1
568	4	M_h_c	91	R_3OAS6M8	-1
569	127	M_malACP_c	91	R_3OAS6M8	-1
570	147	M_6mocACP_c	91	R_3OAS6M8	-1
571	28	M_ACP_c	91	R_3OAS6M8	1
572	124	M_8m3odcaACP_c	91	R_3OAS6M8	1
573	129	M_co2_c	91	R_3OAS6M8	1
574	4	M_h_c	92	R_3OAS7M8	-1
575	127	M_malACP_c	92	R_3OAS7M8	-1
576	148	M_7mocACP_c	92	R_3OAS7M8	-1
577	28	M_ACP_c	92	R_3OAS7M8	1
578	126	M_9m3odcaACP_c	92	R_3OAS7M8	1
579	129	M_co2_c	92	R_3OAS7M8	1
580	4	M_h_c	93	R_3OAS80	-1
581	127	M_malACP_c	93	R_3OAS80	-1
582	149	M_hexACP_c	93	R_3OAS80	-1
583	28	M_ACP_c	93	R_3OAS80	1
